NAICS_Code,Year,Month,Total_Sales
444,2018,Apr,33127
4441,2018,Apr,28573
44412,2018,Apr,1034
44413,2018,Apr,2311
445,2018,Apr,59907
4451,2018,Apr,53839
44511,2018,Apr,51417
4453,2018,Apr,4364
446,2018,Apr,27617
44611,2018,Apr,23059
447,2018,Apr,41476
448,2018,Apr,20616
4481,2018,Apr,15117
44811,2018,Apr,813
44812,2018,Apr,3396
44814,2018,Apr,8006
44819,2018,Apr,1317
4482,2018,Apr,2819
44831,2018,Apr,2440
451,2018,Apr,6201
45111,2018,Apr,3446
45112,2018,Apr,1224
451211,2018,Apr,689
452,2018,Apr,53570
4521,2018,Apr,10623
452111,2018,Apr,3781
452112,2018,Apr,6842
4529,2018,Apr,42947
45291,2018,Apr,36616
45299,2018,Apr,6331
453,2018,Apr,10223
4532,2018,Apr,2132
45321,2018,Apr,902
45322,2018,Apr,1230
45330,2018,Apr,1530
454,2018,Apr,53291
4541,2018,Apr,46368
45431,2018,Apr,2554
722,2018,Apr,60734
7225,2018,Apr,52357
722511,2018,Apr,26171
441,2017,Apr,96381
"4411,4412",2017,Apr,88905
4411,2017,Apr,81174
44111,2017,Apr,72065
44112,2017,Apr,9109
4413,2017,Apr,7476
"442,443",2017,Apr,15781
442,2017,Apr,8630
4421,2017,Apr,4617
4422,2017,Apr,4013
442299,2017,Apr,2140
443,2017,Apr,7151
443141,2017,Apr,1320
443142,2017,Apr,5831
444,2017,Apr,32748
4441,2017,Apr,27078
44412,2017,Apr,967
44413,2017,Apr,2126
445,2017,Apr,59241
4451,2017,Apr,53138
44511,2017,Apr,50706
4453,2017,Apr,4268
446,2017,Apr,26627
44611,2017,Apr,22342
447,2017,Apr,37393
448,2017,Apr,20852
4481,2017,Apr,15473
44811,2017,Apr,741
44812,2017,Apr,3533
44814,2017,Apr,8413
44819,2017,Apr,1340
4482,2017,Apr,3007
44831,2017,Apr,2173
451,2017,Apr,6379
45111,2017,Apr,3597
45112,2017,Apr,1277
451211,2017,Apr,707
452,2017,Apr,54942
4521,2017,Apr,11278
452111,2017,Apr,3919
452112,2017,Apr,7359
4529,2017,Apr,43664
45291,2017,Apr,37351
45299,2017,Apr,6313
453,2017,Apr,9890
4532,2017,Apr,2148
45321,2017,Apr,937
45322,2017,Apr,1211
45330,2017,Apr,1458
454,2017,Apr,47223
4541,2017,Apr,41425
45431,2017,Apr,1789
722,2017,Apr,58601
7224,2017,Apr,2273
7225,2017,Apr,50750
722511,2017,Apr,24968
441,2016,Apr,96991
"4411,4412",2016,Apr,89477
4411,2016,Apr,82369
44111,2016,Apr,73262
44112,2016,Apr,9107
4413,2016,Apr,7514
"442,443",2016,Apr,15684
442,2016,Apr,8610
4421,2016,Apr,4622
4422,2016,Apr,3988
44221,2016,Apr,1660
442299,2016,Apr,2147
443,2016,Apr,7074
443141,2016,Apr,1314
443142,2016,Apr,5760
444,2016,Apr,32435
4441,2016,Apr,26911
44412,2016,Apr,980
44413,2016,Apr,2093
445,2016,Apr,56104
4451,2016,Apr,50303
44511,2016,Apr,48131
4453,2016,Apr,4103
446,2016,Apr,26905
44611,2016,Apr,22641
447,2016,Apr,34003
448,2016,Apr,20428
4481,2016,Apr,15035
44811,2016,Apr,731
44812,2016,Apr,3552
44814,2016,Apr,8002
44819,2016,Apr,1361
4482,2016,Apr,2858
44831,2016,Apr,2287
451,2016,Apr,6522
45111,2016,Apr,3729
45112,2016,Apr,1245
451211,2016,Apr,675
452,2016,Apr,53280
4521,2016,Apr,11541
452111,2016,Apr,4211
452112,2016,Apr,7330
4529,2016,Apr,41739
45291,2016,Apr,36005
45299,2016,Apr,5734
453,2016,Apr,9871
4532,2016,Apr,2328
45321,2016,Apr,1081
45322,2016,Apr,1247
45330,2016,Apr,1410
454,2016,Apr,42896
4541,2016,Apr,37064
45431,2016,Apr,1738
722,2016,Apr,56349
7224,2016,Apr,2061
7225,2016,Apr,48918
722511,2016,Apr,24527
441,2015,Apr,93672
"4411,4412",2015,Apr,86083
4411,2015,Apr,79486
44111,2015,Apr,70517
44112,2015,Apr,8969
4413,2015,Apr,7589
"442,443",2015,Apr,15579
442,2015,Apr,8261
4421,2015,Apr,4383
4422,2015,Apr,3878
44221,2015,Apr,1625
442299,2015,Apr,2111
443,2015,Apr,7318
443141,2015,Apr,1322
443142,2015,Apr,5996
444,2015,Apr,31450
4441,2015,Apr,25802
44412,2015,Apr,932
44413,2015,Apr,2085
445,2015,Apr,55480
4451,2015,Apr,49828
44511,2015,Apr,47725
4453,2015,Apr,3867
446,2015,Apr,25625
44611,2015,Apr,21551
447,2015,Apr,37070
448,2015,Apr,20389
4481,2015,Apr,15124
44811,2015,Apr,767
44812,2015,Apr,3458
44814,2015,Apr,8037
44819,2015,Apr,1329
4482,2015,Apr,2750
44831,2015,Apr,2298
451,2015,Apr,6237
45111,2015,Apr,3573
45112,2015,Apr,1219
451211,2015,Apr,654
452,2015,Apr,52497
4521,2015,Apr,12320
452111,2015,Apr,4576
452112,2015,Apr,7744
4529,2015,Apr,40177
45291,2015,Apr,34707
45299,2015,Apr,5470
453,2015,Apr,9446
4532,2015,Apr,2404
45321,2015,Apr,1163
45322,2015,Apr,1241
45330,2015,Apr,1362
454,2015,Apr,39907
4541,2015,Apr,33618
45431,2015,Apr,2279
722,2015,Apr,52285
7224,2015,Apr,1845
7225,2015,Apr,45455
722511,2015,Apr,22641
441,2014,Apr,87959
"4411,4412",2014,Apr,80609
4411,2014,Apr,74532
44111,2014,Apr,66931
44112,2014,Apr,7601
4413,2014,Apr,7350
"442,443",2014,Apr,15139
442,2014,Apr,7791
4421,2014,Apr,4154
